INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,STATISTICAL_MURDER_FLAG
64773334,8/16/09,0:12:00,FALSE
60315461,4/4/09,3:05:00,FALSE
52214155,10/15/08,19:13:00,FALSE
15400569,5/17/06,18:22:00,TRUE
83243668,2/18/12,3:58:00,TRUE
28523999,4/18/07,11:40:00,TRUE
90128859,4/15/13,8:28:00,TRUE
62947588,6/20/09,6:16:00,FALSE
214693789,6/28/20,16:57:00,FALSE
16692686,6/6/06,17:32:00,FALSE
36362024,12/16/07,17:45:00,FALSE
140826839,2/4/15,0:51:00,FALSE
47085788,6/6/08,3:39:00,FALSE
220063007,11/3/20,0:07:00,FALSE
93518825,11/10/13,4:15:00,TRUE
56662014,2/9/09,23:22:00,FALSE
35785815,11/18/07,3:33:00,FALSE
174244426,1/31/18,11:50:00,FALSE
32949486,7/7/07,0:12:00,FALSE
203041424,9/29/19,0:35:00,TRUE
54878646,12/14/08,4:56:00,FALSE
26849645,2/12/07,19:20:00,FALSE
214312558,6/17/20,21:02:00,TRUE
34377233,9/13/07,13:49:00,FALSE
164887362,5/16/17,16:30:00,FALSE
50499452,8/24/08,14:28:00,FALSE
10137411,1/9/06,21:25:00,TRUE
67729396,11/11/09,22:05:00,FALSE
62342780,6/1/09,21:30:00,FALSE
76663354,1/1/11,2:15:00,FALSE
199247701,7/3/19,0:04:00,FALSE
158783523,11/25/16,4:44:00,FALSE
73017572,6/2/10,21:20:00,FALSE
9953252,1/1/06,2:22:00,TRUE
24157454,9/4/06,11:05:00,FALSE
23588715,7/28/06,4:05:00,FALSE
79204377,6/8/11,22:58:00,FALSE
29373510,6/2/07,6:18:00,FALSE
24717013,10/9/06,19:41:00,FALSE
215871909,7/28/20,22:19:00,FALSE
216063723,8/1/20,1:33:00,TRUE
15400540,5/10/06,21:43:00,FALSE
89060462,2/9/13,23:57:00,TRUE
86870747,9/22/12,2:40:00,FALSE
33244461,7/21/07,3:55:00,FALSE
142889363,5/13/15,9:42:00,TRUE
68717420,12/10/09,17:23:00,FALSE
54896025,12/14/08,20:00:00,FALSE
27126163,2/28/07,16:33:00,FALSE
88306914,12/27/12,23:05:00,FALSE
222075197,12/20/20,15:08:00,FALSE
72616285,5/9/10,1:58:00,FALSE
61961050,5/20/09,17:35:00,FALSE
88464990,1/7/13,21:22:00,FALSE
44537003,3/15/08,12:15:00,FALSE
88638007,1/18/13,0:04:00,FALSE
29357207,5/31/07,22:20:00,FALSE
62792693,6/15/09,23:40:00,FALSE
28609130,4/21/07,2:45:00,FALSE
69526314,1/1/10,14:30:00,FALSE
137931192,7/26/14,1:00:00,FALSE
73720289,7/17/10,15:00:00,FALSE
137018488,5/31/14,10:45:00,FALSE
79337944,6/15/11,14:01:00,FALSE
86437258,8/26/12,1:05:00,FALSE
62773200,6/15/09,5:10:00,FALSE
25772050,12/14/06,22:05:00,FALSE
166660833,6/30/17,14:54:00,TRUE
55195355,12/25/08,19:58:00,FALSE
136793220,5/17/14,5:06:00,FALSE
25023634,10/28/06,2:35:00,FALSE
23501821,7/22/06,3:53:00,FALSE
49514587,7/30/08,18:45:00,FALSE
54382776,11/24/08,16:58:00,FALSE
50843851,9/6/08,2:26:00,FALSE
37695060,1/13/08,21:00:00,TRUE
71859341,3/21/10,1:50:00,FALSE
10187490,1/17/06,21:47:00,FALSE
140088780,12/5/14,17:55:00,FALSE
23749375,8/7/06,22:06:00,FALSE
198404597,6/12/19,19:37:00,TRUE
52550582,10/27/08,13:34:00,TRUE
24626212,9/30/06,22:05:00,FALSE
11118225,4/24/06,20:55:00,FALSE
65445483,9/6/09,14:00:00,FALSE
10619085,3/4/06,21:36:00,FALSE
23957542,8/20/06,5:16:00,TRUE
37710131,1/14/08,13:15:00,FALSE
50796662,9/3/08,1:10:00,TRUE
51517668,9/20/08,19:04:00,FALSE
54154419,11/18/08,19:54:00,FALSE
184058011,6/16/18,0:55:00,FALSE
10240245,1/25/06,10:30:00,FALSE
139574750,11/9/14,5:02:00,FALSE
32288650,6/16/07,15:34:00,FALSE
51745758,9/27/08,8:00:00,FALSE
91589681,7/11/13,20:20:00,FALSE
74824431,9/29/10,0:02:00,TRUE
80879918,9/24/11,1:04:00,FALSE
34824227,10/3/07,23:15:00,FALSE
215034244,7/7/20,21:28:00,TRUE
80284010,8/13/11,21:40:00,TRUE
71432863,2/21/10,4:38:00,TRUE
80791119,9/19/11,12:30:00,TRUE
75108429,10/16/10,21:34:00,FALSE
80573513,9/2/11,18:10:00,TRUE
62526977,6/7/09,14:05:00,FALSE
61351692,5/2/09,23:25:00,FALSE
47890652,7/1/08,9:17:00,FALSE
39158252,2/15/08,22:42:00,FALSE
16814037,6/18/06,23:28:00,TRUE
86415277,8/23/12,21:03:00,TRUE
82361864,12/27/11,2:16:00,FALSE
47248382,6/15/08,20:41:00,FALSE
54495005,11/29/08,6:04:00,FALSE
25424629,11/22/06,20:30:00,FALSE
44445749,3/11/08,3:00:00,FALSE
214574798,6/25/20,3:12:00,FALSE
76723982,1/5/11,23:16:00,FALSE
182930731,5/20/18,2:03:00,TRUE
23354067,6/30/06,0:25:00,FALSE
72135756,4/9/10,2:21:00,FALSE
80584530,9/4/11,3:33:00,FALSE
197706724,5/28/19,3:10:00,FALSE
168378723,8/22/17,14:43:00,FALSE
33672011,8/10/07,16:16:00,FALSE
23749375,8/7/06,22:06:00,TRUE
10619082,3/4/06,14:57:00,FALSE
10879222,4/2/06,6:15:00,FALSE
12679357,5/5/06,2:31:00,FALSE
51745759,9/28/08,2:12:00,FALSE
185246019,7/16/18,4:22:00,FALSE
9953261,1/3/06,13:54:00,FALSE
16814015,6/14/06,20:29:00,FALSE
85875439,7/22/12,21:35:00,FALSE
