BORO,LOCATION_DESC,PRECINCT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
BRONX,DEPT STORE,44,1007961,246839,40.84416759,-73.91430352,POINT (-73.91430351799994 40.84416759000004)
BROOKLYN,MULTI DWELL - APT BUILD,90,999645,195120,40.70223092,-73.94447824,POINT (-73.94447824399998 40.702230918000055)
BROOKLYN,GROCERY/BODEGA,69,1011203,174515,40.6456472,-73.90287589,POINT (-73.90287588699994 40.64564719600002)
BRONX,MULTI DWELL - APT BUILD,47,1031078,262785,40.88784211,-73.83064119,POINT (-73.83064118999994 40.88784211400008)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,23,998481,225704,40.78617829,-73.94861159,POINT (-73.94861158899994 40.78617829400008)
BRONX,MULTI DWELL - APT BUILD,47,1020808,262493,40.88708919,-73.86778567,POINT (-73.86778566699996 40.88708918800006)
QUEENS,MULTI DWELL - PUBLIC HOUS,114,999925,214507,40.75544301,-73.94342325,POINT (-73.94342324599995 40.755443005000075)
BROOKLYN,PVT HOUSE,62,981800,162898,40.61380165,-74.00882584,POINT (-74.00882583999999 40.61380164800004)
BROOKLYN,PVT HOUSE,62,985186,161375,40.60962162,-73.99663037,POINT (-73.99663036999993 40.60962161500004)
QUEENS,PVT HOUSE,101,1046325,156118,40.59497489,-73.77648276,POINT (-73.77648276299993 40.59497489300003)
BRONX,GROCERY/BODEGA,52,1013751,253461,40.86232556,-73.89334778,POINT (-73.89334777899995 40.86232555500004)
BRONX,COMMERCIAL BLDG,47,1021659,256781,40.87140797,-73.86473984,POINT (-73.86473983999997 40.871407969000074)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1005947,235372,40.81269914,-73.92161974,POINT (-73.92161973599997 40.81269913700004)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,7,989775,199282,40.71366629,-73.98007171,POINT (-73.98007170899997 40.71366629200002)
BRONX,MULTI DWELL - APT BUILD,52,1019141,259102,40.87778871,-73.8738322,POINT (-73.87383219999998 40.87778870600005)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,32,1001752,241629,40.82988214,-73.9367581,POINT (-73.93675809999998 40.82988213900006)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,76,983439,185086,40.67470324,-74.00292517,POINT (-74.00292516799993 40.674703240000035)
BROOKLYN,BAR/NIGHT CLUB,90,1001951,195081,40.70211956,-73.93616159,POINT (-73.93616159099997 40.70211956100008)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1011763,244572,40.83793431,-73.90057138,POINT (-73.90057137799994 40.837934311000026)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,75,1012960,182222,40.66679569,-73.89651171,POINT (-73.89651170599996 40.66679569100006)
MANHATTAN,GROCERY/BODEGA,25,1001507,232216,40.80404658,-73.93766761,POINT (-73.93766760899997 40.804046578000055)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,79,998205,190419,40.68933015,-73.94968145,POINT (-73.94968144799998 40.68933015300007)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,73,1009548,187629,40.68164709,-73.9087905,POINT (-73.90879049699998 40.68164709200005)
QUEENS,PVT HOUSE,105,1055375,186365,40.67792812,-73.74357702,POINT (-73.74357702299993 40.67792811600003)
QUEENS,BANK,105,1053012,187109,40.67998889,-73.75208863,POINT (-73.752088626 40.67998889000006)
BROOKLYN,GROCERY/BODEGA,90,995734,197465,40.70867333,-73.95857955,POINT (-73.95857955299994 40.70867333100006)
